Identifier,Latitude,Longitude
ETGEB,S032.30.14.569,E028.35.03.451
ETGER,S024.45.06.998,E033.13.47.999
ETGIS,S031.05.11.889,E025.08.56.950
ETGON,S030.57.12.661,E030.11.26.491
ETGOS,S021.58.59.998,E017.22.37.999
ETGUN,S027.00.00.000,E040.00.00.000
ETIVI,S025.01.36.998,E034.33.48.999
ETKAL,S032.54.48.398,E022.33.36.028
ETKEB,S016.47.26.998,E033.34.27.001
ETKES,S017.59.30.001,E038.21.47.998
ETKIB,S019.12.52.999,E027.35.30.001
ETKIX,S015.13.45.501,E028.15.14.698
ETKON,S033.25.08.000,E026.56.21.519
ETLAD,S020.57.44.899,E027.19.44.900
ETLAG,S033.59.53.430,E022.36.13.780
ETLAM,S020.58.11.999,E034.26.17.998
ETLAX,S023.15.36.471,E014.42.30.160
ETLIB,S019.06.24.001,E036.13.00.001
ETLID,S033.38.37.888,E018.17.47.180
ETLIG,S026.41.48.001,E028.16.59.001
ETLIS,S023.15.36.000,E032.02.48.001
ETLON,S019.07.12.000,E024.22.12.000
ETLOV,S016.00.00.000,E011.15.11.998
ETLUN,S016.28.00.001,E028.07.00.001
ETLUR,S030.54.25.430,E028.12.54.691
ETMAL,S027.34.22.090,E030.23.00.510
ETMIT,S023.12.48.488,E027.37.42.689
ETMOD,S024.52.36.998,E032.23.17.001
ETMOS,S028.22.23.998,E035.56.17.998
ETMOT,S032.57.38.080,E027.36.13.798
ETMOX,S020.41.11.000,E023.17.03.001
ETMUP,S029.02.47.839,E030.47.21.951
ETMUS,S028.19.59.790,E016.27.05.828
ETNAR,S024.43.00.389,E033.39.51.278
ETONA,S015.24.23.000,E033.41.08.001
ETOPA,S026.49.26.259,E015.05.57.260
ETOSA,S024.42.50.399,E026.03.12.981
ETOVU,S032.21.22.291,E028.23.43.328
ETUDU,S021.40.00.001,E012.43.21.180
ETULA,S034.21.00.000,E010.00.00.000
ETUMA,S015.31.30.000,E031.44.05.999
ETUPO,S028.11.07.958,E018.07.09.800
ETUPU,S025.39.51.451,E028.29.20.230
ETUSO,S023.12.39.351,E015.30.03.261
EVAGU,S018.08.31.970,E016.20.39.598
EVARI,S027.40.48.910,E030.03.15.188
EVE15,S028.48.17.578,E025.01.31.738
EVEKA,S015.34.18.001,E032.42.17.999
EVEMU,S030.41.04.750,E027.15.17.920
EVESA,S023.12.12.031,E026.13.03.421
EVESI,S028.35.54.700,E025.11.12.699
EVESO,S018.17.00.718,E019.28.01.369
EVIDO,S029.38.44.818,E032.04.48.899
EVIMA,S016.24.47.998,E038.08.42.000
EVIPI,S024.52.00.199,E027.50.54.351
EVOBA,S019.52.18.001,E035.12.36.000
EVOGU,S019.23.17.998,E034.44.24.000
EVOLU,S015.42.42.001,E026.38.17.998
EVOMO,S025.01.28.199,E017.25.34.161
EVOPO,S025.12.24.181,E027.11.38.399
EVUKI,S033.10.00.739,E018.21.01.850
EVURU,S030.45.08.071,E030.31.13.439
EVUVA,S030.45.35.881,E028.35.42.169
EVUVI,S017.24.10.169,E014.21.22.150
EXABU,S031.37.56.121,E027.48.46.389
EXADU,S019.38.53.998,E034.44.12.001
EXALO,S018.38.17.998,E028.33.24.001
EXANO,S026.37.48.511,E026.50.35.041
EXANU,S024.24.56.998,E033.37.28.999
EXATA,S029.45.57.999,E030.01.14.998
EXAXA,S022.24.01.400,E024.38.37.658
EXEDU,S018.55.59.998,E022.28.00.001
EXELO,S033.19.30.388,E022.24.26.380
EXEMA,S024.06.43.999,E032.48.06.998
EXERA,S018.05.30.001,E021.33.05.990
EXETU,S022.08.30.001,E034.01.05.998
EXIBA,S021.11.31.999,E026.49.08.000
EXIGO,S019.02.48.001,E022.58.05.998
EXIMI,S021.36.07.919,E025.28.09.120
EXIRI,S018.42.32.338,E019.50.19.921
EXIRO,S021.57.43.919,E027.30.20.880
EXITU,S033.59.03.868,E023.11.18.081
EXOBI,S026.02.52.270,E029.08.51.320
EXOBO,S018.09.09.010,E025.26.02.698
EXOKU,S026.40.10.401,E026.34.40.148
EXOLA,S020.22.54.001,E036.14.35.998
F03LY,S026.12.32.911,E028.12.53.571
F03RW,S026.20.16.670,E028.11.40.369
FA,S018.04.13.051,E025.45.54.028
FA002,S018.03.52.891,E025.44.35.761
FA003,S018.02.50.830,E025.41.38.320
FA004,S018.07.41.278,E025.55.48.568
FA005,S018.08.39.991,E025.58.47.330
FA007,S018.03.47.048,E025.44.40.509
FA008,S018.02.39.260,E025.41.45.380
FD01,S034.03.06.778,E018.37.20.881
FD02,S029.10.19.621,E026.18.33.098
FD02,S028.54.58.600,E024.46.27.339
FD02,S026.28.16.820,E031.43.08.558
FD04,S025.54.10.198,E025.29.56.198
FD05,S023.55.38.881,E029.23.37.640
FD05,S025.29.21.411,E027.02.42.388
FD05,S025.30.46.378,E030.59.20.939
FD05,S028.49.22.090,E032.01.41.818
FD06Z,S029.43.55.790,E031.00.14.979
FD07,S026.01.22.821,E027.49.32.221
FD08,S024.36.22.499,E025.49.01.689
FD08,S020.01.11.240,E023.18.52.988
FD08,S017.51.45.518,E025.03.59.479
FD08,S015.17.34.180,E012.04.11.139
FD08Z,S034.02.08.401,E025.30.14.068
FD09,S023.00.36.230,E014.31.17.828
FD10,S015.19.17.140,E028.20.37.071
FD10,S017.49.48.039,E025.43.00.458
FD11,S034.00.16.019,E022.16.32.970
FD11,S033.03.04.809,E027.42.05.079
FD13,S021.05.53.761,E027.21.35.751
FD20,S028.58.02.308,E026.18.40.478
FD20,S028.41.05.110,E024.47.00.240
FD21R,S025.58.49.249,E028.17.13.581
FD22,S029.20.17.880,E027.35.21.040
FD23,S025.14.06.889,E031.11.21.418
FD23,S028.39.13.859,E032.09.01.501
FD23,S025.49.21.360,E032.37.57.460
FD23,S017.50.05.809,E031.11.28.888
FD24,S029.00.24.109,E030.42.23.029
FD24Z,S029.28.45.750,E031.12.54.759
FD256,S022.25.35.900,E017.35.02.299
FD26,S019.55.24.369,E023.32.32.809
FD26,S024.30.03.499,E026.01.44.839
FD26,S015.13.15.229,E012.14.39.609
FD26Z,S033.56.42.910,E025.40.51.459
FD27,S022.56.44.710,E014.45.05.079
FD28,S015.20.24.241,E028.33.48.790
FD28,S017.50.44.789,E025.54.54.921
FD29,S025.39.03.171,E028.17.57.091
FD29,S033.01.27.811,E027.55.44.968
FD29,S034.00.05.540,E022.28.33.578
FD31,S021.12.42.490,E027.33.49.949
FD35,S028.30.58.759,E021.20.18.110
FF05,S017.59.44.451,E031.01.45.130
FF06,S029.44.10.399,E031.00.38.001
FF18,S017.46.09.929,E036.51.41.421
FF20,S026.14.43.641,E031.42.59.169
FF24,S029.29.16.108,E031.13.37.531
FI01,S034.04.41.699,E018.38.15.399
FI03L,S026.12.38.700,E028.12.51.778
FI03R,S026.17.17.480,E028.12.35.481
FI05,S025.31.14.858,E031.00.09.320
FI05,S018.01.53.209,E030.59.19.399
FI07Z,S026.01.27.519,E027.49.26.061
FI08,S034.02.29.378,E025.30.28.378
FI08,S024.36.20.131,E025.48.59.281
FI11,S034.00.34.149,E022.15.06.091
FI11Z,S033.02.53.800,E027.43.06.239
FI19,S033.49.35.220,E018.33.28.058
FI21L,S026.00.39.589,E028.17.44.401
FI21R,S025.59.26.080,E028.16.57.089
FI22,S029.20.28.168,E027.35.25.929
FI23,S025.49.21.640,E032.37.57.180
FI26,S022.24.51.001,E017.36.48.499
FI26Z,S033.57.04.129,E025.40.56.791
FI29,S034.00.05.680,E022.30.05.738
FI29,S033.01.22.439,E027.55.55.088
FN10Y,S017.48.41.799,E025.40.18.818
FN10Z,S017.48.49.780,E025.42.17.031
FN22,S029.20.35.361,E027.35.21.120
FN28Y,S017.49.44.090,E025.55.49.339
FN28Z,S017.49.38.870,E025.54.30.520
FN601,S025.04.13.260,E033.45.00.028
FN602,S024.59.13.358,E033.45.05.241
FN701,S024.43.05.138,E033.45.22.028
FN702,S024.47.53.779,E033.45.17.020
FS10,S015.39.48.398,E034.49.29.758
FT400,S021.02.53.699,E027.16.25.201
FT401,S021.05.51.601,E027.21.37.598
FT402,S021.11.37.701,E027.31.46.401
FT403,S021.30.36.000,E027.08.17.699
FT404,S020.38.37.600,E026.56.28.201
FT420,S021.15.22.399,E027.38.22.898
FT421,S021.12.46.800,E027.33.48.398
FT422,S021.07.16.201,E027.24.06.299
FT423,S021.32.14.398,E027.27.12.301
FT424,S021.14.19.399,E027.19.15.398
FT425,S020.51.16.999,E027.08.14.798
FT426,S020.32.49.898,E026.56.28.899
FT510,S021.12.59.299,E027.34.10.300
FT511,S021.03.32.400,E027.40.15.499
FT512,S021.22.26.000,E027.28.04.400
FT513,S021.34.25.100,E027.26.25.699
FT514,S020.32.08.401,E027.15.34.898
FT520,S021.05.54.499,E027.21.42.501
FT521,S020.56.27.999,E027.27.48.200
FT522,S021.15.20.699,E027.15.36.100
FT523,S021.32.06.201,E027.10.52.899
FT524,S020.50.03.501,E026.53.58.599
G014L,S029.16.00.181,E027.36.28.709
G015F,S029.20.41.791,E027.35.20.709
G015L,S029.14.53.581,E027.37.08.961
G019J,S022.18.49.888,E017.30.20.548
G021U,S029.06.26.708,E027.42.19.400
G052O,S029.17.13.059,E027.47.05.549
G086Z,S022.26.17.030,E018.01.57.140
G167P,S029.43.22.778,E027.36.57.560
G172P,S022.44.20.158,E017.32.02.511
G179Z,S029.54.51.368,E027.33.38.350
G194H,S029.35.50.809,E027.30.49.719
G194N,S029.41.40.930,E027.29.09.600
G221P,S029.39.58.611,E027.21.21.891
G259O,S022.31.43.780,E017.12.24.411
G283O,S022.30.57.751,E017.12.25.729
G313E,S022.24.21.520,E017.23.07.519
G338O,S029.12.33.368,E027.27.12.859
G353P,S022.12.01.688,E017.27.27.619
G360P,S015.00.06.001,E013.46.59.998
GABGO,S033.40.03.201,E023.17.23.409
GABMU,S022.46.00.120,E027.01.29.999
GABNA,S024.10.00.001,E028.34.00.001
GABSI,S024.19.47.049,E020.00.05.540
GABTI,S031.28.23.728,E028.24.46.281
GADBA,S015.56.58.999,E029.01.48.000
GADNU,S033.28.51.571,E021.06.31.190
GADPA,S027.26.30.951,E022.58.58.630
GADPO,S017.41.08.498,E025.25.06.499
GADSO,S028.37.28.279,E024.52.41.858
GADSU,S022.30.03.999,E033.53.08.998
GADVI,S020.10.28.920,E024.50.17.880
GAGDA,S020.59.46.100,E027.10.56.398
GAGLI,S031.34.15.391,E028.47.51.568
GAGNO,S025.33.09.230,E031.37.49.159
GEDOL,S029.50.37.489,E026.10.04.180
GENID,S019.02.06.000,E033.20.41.999
GENIX,S018.12.24.001,E023.25.41.998
GENUB,S034.13.01.999,E024.35.29.209
GENUD,S024.06.07.919,E021.39.39.960
GENUT,S024.59.54.999,E032.24.51.998
GENUV,S034.07.23.120,E023.35.07.799
GEPAB,S037.00.41.000,E018.30.42.001
GEPAS,S021.49.29.999,E018.33.42.001
GEPAT,S018.35.48.001,E038.08.12.001
GEPEN,S023.30.48.779,E022.50.46.669
GEPES,S028.00.36.990,E025.17.47.828
GEPEV,S035.04.41.998,E029.59.12.001
GEPOP,S020.51.38.689,E019.39.04.939
GERAX,S027.18.57.481,E031.23.10.910
GEROX,S027.22.49.011,E028.49.43.111
GERUT,S032.56.39.541,E023.33.20.678
GESAS,S021.46.36.001,E033.03.24.001
GESEN,S020.04.47.999,E027.07.47.999
GESIL,S022.19.00.001,E031.00.00.000
GESOK,S022.11.17.998,E034.37.30.000
GETEM,S021.39.20.879,E018.09.09.180
GETEN,S034.03.26.380,E019.36.11.699
GETET,S022.24.05.061,E017.44.50.719
GETIM,S025.05.34.760,E031.33.21.329
GETIP,S024.24.02.419,E026.12.22.899
GETOG,S017.52.30.000,E025.48.24.001
GETOK,S029.30.46.688,E030.09.17.830
GETUK,S022.12.36.619,E035.18.22.978
GEVAD,S017.40.21.741,E036.56.13.210
GEVAT,S018.13.24.999,E030.01.42.999
GEVIN,S027.41.53.948,E014.10.08.309
GEVIP,S019.21.00.000,E036.05.30.001
GEVIS,S029.41.37.489,E033.57.37.558
GEVOK,S018.32.17.998,E037.19.18.001
GEVOM,S020.13.28.700,E026.39.12.700
GEXIP,S032.14.59.571,E019.14.58.081
GG1F1,S034.00.34.210,E022.15.04.849
GG1M1,S034.00.08.960,E022.28.35.590
GG1M2,S034.07.43.388,E022.28.56.938
GG1T1,S034.00.41.511,E022.03.55.418
GG2F1,S034.00.05.389,E022.30.13.168
GG2M1,S034.00.38.138,E022.12.56.249
GG2M2,S034.11.03.958,E022.13.23.768
GG362,S033.48.32.961,E022.29.30.170
GG364,S034.06.39.391,E022.13.26.230
GI101,S016.55.54.080,E015.26.00.549
GI102,S017.02.34.249,E015.28.32.851
GI103,S016.53.27.571,E015.32.55.888
GI104,S016.58.00.929,E015.30.44.420
GI105,S017.00.07.660,E015.35.28.399
GI106,S017.02.14.279,E015.40.12.478
GI107,S017.09.17.719,E015.56.04.408
GI108,S017.02.38.061,E015.53.31.621
GI109,S017.11.44.700,E015.49.08.288
GI110,S017.07.11.391,E015.51.20.008
GI111,S017.05.01.949,E015.46.35.709
GI112,S017.02.58.401,E015.41.51.529
GLAMA,S022.29.02.569,E017.45.27.118
GR1F1,S032.17.56.781,E024.32.18.110
GR1M1,S032.09.36.309,E024.33.46.868
GR1M2,S032.10.22.180,E024.39.36.079
GR1MP,S032.13.07.348,E024.32.00.031
GR1T1,S032.22.49.681,E024.33.37.800
GUBAG,S018.00.00.000,E009.40.00.001
GUNDU,S022.54.09.291,E014.54.04.798
GWV,S022.14.44.599,E029.24.37.209
GY2F1,S029.03.14.349,E030.39.18.810
GY2F2,S029.05.16.670,E030.37.15.758
GY2MP,S029.06.37.159,E030.35.54.729
GY2T1,S028.59.28.888,E030.43.05.318
GY2T2,S029.01.23.120,E030.41.10.600
HERSH,S026.26.15.298,E015.19.37.919
HYDRO,S018.02.57.080,E030.58.12.579
IBGEL,S034.16.55.070,E018.42.09.068
IBGOT,S016.04.41.998,E027.19.50.001
IBGUT,S020.59.35.998,E037.40.12.000
IBKAR,S024.46.44.000,E036.36.15.001
IBKEL,S029.07.58.918,E023.59.33.900
IBKIM,S024.43.41.001,E032.43.59.998
IBKIN,S021.50.11.871,E018.02.47.849
IBKOX,S017.45.51.951,E036.51.32.439
IBLAS,S017.46.08.338,E016.12.14.569
IBLER,S031.44.19.769,E028.49.26.511
IBLOM,S024.27.36.741,E026.07.01.401
IBLUX,S028.55.43.341,E030.46.51.538
IBMAD,S029.16.30.151,E026.24.55.850
IBMAS,S018.59.35.998,E037.59.12.001
IBMEP,S015.34.50.199,E028.45.45.900
IBMOG,S019.12.36.000,E033.41.48.001
IBMON,S033.04.24.830,E027.30.08.409
IBMUX,S018.01.44.911,E015.49.00.530
IBNAB,S023.31.25.960,E018.53.12.418
IBNAG,S031.04.42.121,E030.14.04.750
IBNAX,S021.08.02.500,E027.13.05.300
IBNEV,S018.47.06.000,E011.40.05.001
IBNIR,S017.13.58.000,E026.26.53.001
IBNOL,S019.18.08.999,E027.20.45.999
IBRAB,S024.24.35.730,E026.12.43.171
IBRAK,S018.59.12.001,E027.18.00.000
IBREX,S028.46.35.968,E016.20.59.971
IBRIS,S028.52.00.001,E025.56.59.999
IBRIT,S019.59.25.339,E023.23.19.719
IBRUM,S020.34.18.839,E025.23.58.919
IBRUN,S028.53.24.748,E018.29.00.189
IBSAD,S022.32.39.159,E017.10.17.900
IBSAK,S019.04.23.998,E035.57.11.998
IBSAX,S015.40.18.001,E038.58.11.999
IBSEG,S029.24.05.461,E030.15.41.338
IBSIX,S028.31.28.318,E024.45.51.839
IBSOT,S019.50.13.869,E023.17.01.870
IBSUL,S016.09.08.999,E028.25.09.998
IBTAG,S018.02.40.678,E020.12.33.721
IBTEK,S029.43.04.040,E025.12.47.520
IBTEX,S019.28.41.998,E036.01.48.000
IBTOP,S027.05.22.138,E020.23.49.988
IBVAN,S020.31.33.959,E023.47.20.040
IBVIG,S022.21.50.040,E026.27.09.000
IBVIT,S028.24.53.618,E021.00.00.439
IBVOB,S022.23.41.999,E016.56.59.999
IMDIP,S017.53.59.999,E023.49.41.998
IMDIR,S020.53.17.998,E037.16.48.000
IMDIV,S022.20.36.999,E027.16.36.998
IMGAG,S018.33.29.998,E016.04.47.999
IMGAK,S024.04.02.308,E029.16.12.831
IMGET,S021.28.34.741,E017.43.10.081
IMGEV,S027.59.09.301,E028.17.32.099
IMGIT,S031.30.29.901,E028.56.19.410
IMGOP,S022.35.30.119,E026.46.06.959
IMGUR,S028.49.04.598,E026.18.15.688
IMKAM,S031.14.20.000,E015.00.30.999
IMKAM,S022.14.12.001,E035.17.48.001
IMKED,S021.31.11.999,E020.41.05.999
IMKID,S025.57.43.380,E031.07.01.210
IMKUP,S024.49.15.700,E028.14.20.648
IMLAM,S018.20.08.879,E024.01.05.879
IMLAN,S024.59.07.979,E020.19.41.188
IMLAP,S018.47.17.998,E036.22.48.000
IMLID,S030.32.38.378,E030.01.29.690
IMLIK,S023.06.39.139,E014.30.08.089
IMLIT,S023.17.17.998,E033.35.35.998
IMLIX,S019.39.26.999,E026.20.30.839
IMLOB,S020.33.38.880,E023.40.58.080
IMLUT,S030.30.35.899,E015.41.02.738
IMPAM,S024.02.48.998,E036.44.13.999
IMPAP,S031.37.57.579,E028.54.08.521
IMPEG,S033.59.36.200,E022.44.38.558
IMPEP,S022.23.25.180,E017.39.53.960
IMPIG,S021.42.12.549,E018.16.06.031
IMPOD,S023.36.43.210,E028.16.07.849
IMPOK,S027.30.00.000,E014.03.29.998
IMPOL,S027.33.00.000,E036.05.48.001
IMPUG,S025.19.08.659,E031.44.55.010
IMRET,S022.37.59.998,E035.19.30.000
IMROG,S032.10.42.909,E026.39.14.428
IMROK,S024.29.57.631,E025.42.35.819
IMRON,S020.50.06.000,E037.17.17.998
IMRUG,S025.01.07.989,E015.19.10.808
IMSAS,S022.25.36.001,E034.45.42.001
IMSIR,S027.59.45.729,E024.58.01.189
IMSOK,S022.26.22.549,E016.34.19.030
IMSOL,S025.44.38.900,E028.23.33.698
IMSOM,S033.56.03.901,E018.00.31.240
IMSOP,S017.19.00.998,E037.19.36.998
IMSUK,S022.56.21.119,E025.37.58.079
IMSUM,S015.17.17.451,E039.12.38.879
IMTAB,S016.33.00.000,E034.06.47.998
IMTAG,S024.42.47.998,E033.25.05.998
IMTAX,S021.02.58.830,E027.16.21.928
IMTES,S017.52.47.100,E016.09.38.228
IMTET,S026.20.06.000,E030.53.06.000
IMTON,S023.43.39.331,E035.18.38.901
IMTUK,S018.18.23.000,E030.03.56.998
IMVAV,S032.59.50.049,E028.08.41.150
IMVES,S017.25.17.000,E025.23.22.999
IMVET,S019.19.44.040,E033.24.48.661
IMVEX,S015.11.00.999,E016.35.51.000
IMVIS,S020.09.01.198,E023.28.58.220
IN500,S023.47.57.001,E035.21.27.921
IN600,S023.56.32.179,E035.27.06.519
IN601,S023.53.56.511,E035.31.46.739
ITGAD,S031.43.00.001,E010.00.00.000
ITKIT,S033.21.37.270,E026.09.50.410
ITKOP,S021.51.30.560,E035.14.11.849
ITKOT,S028.03.41.169,E018.36.40.381
ITLIK,S035.16.00.001,E014.59.57.001
ITMEK,S034.12.00.000,E015.00.00.000
ITMIL,S029.01.51.049,E031.48.38.401
ITNOX,S028.14.34.288,E017.53.21.379
ITORI,S029.21.51.868,E031.36.07.239
ITROL,S025.02.07.969,E027.26.05.370
ITRON,S015.37.00.001,E033.39.06.001
IXABO,S022.21.00.241,E023.01.47.978
IXAKU,S031.22.30.061,E026.58.46.628
IXARA,S027.58.27.429,E028.53.40.081
IXATA,S015.22.23.998,E025.56.48.998
IXEBI,S031.57.53.020,E026.20.47.331
IXEDA,S019.33.06.001,E036.43.47.999
IXEKI,S028.30.43.448,E027.40.36.850
IXEMA,S020.00.00.000,E040.00.00.000
IXEMI,S018.19.53.000,E028.32.35.998
IXEPA,S019.39.21.099,E013.32.48.321
IXESU,S026.30.38.001,E031.19.59.001
JOWEE,S022.14.41.449,E017.26.27.578
JS002,S026.27.27.669,E028.51.10.889
JS004,S026.23.43.501,E028.22.02.010
JS006,S026.17.31.279,E028.11.21.080
JS007,S026.15.43.390,E028.11.54.571
JS008,S026.15.52.329,E028.11.51.799
JS012,S026.31.56.431,E027.54.59.331
JS013,S026.33.53.409,E028.04.18.429
JS014,S026.29.35.588,E028.08.46.021
JS015,S026.20.01.618,E028.11.44.541
JS017,S026.30.55.339,E028.19.58.868
JS018,S026.33.44.589,E028.28.14.908
JS023,S026.21.40.971,E028.03.36.478
JS025,S026.18.42.249,E028.24.44.499
JS028,S025.59.57.620,E028.56.05.578
JS029,S026.00.10.310,E028.16.43.471
JS030,S025.59.12.660,E028.26.37.539
JS031,S026.00.40.849,E028.16.34.039
JS032,S025.55.50.620,E028.41.15.579
JS035,S026.04.46.239,E028.05.25.879
JS036,S026.08.34.879,E028.05.55.791
JS037,S026.23.02.940,E028.00.04.820
JS2F1,S026.17.17.498,E028.12.35.499
JS2M1,S025.59.10.021,E028.18.12.059
JS2M2,S026.02.01.179,E028.29.32.938
JS2MP,S026.09.53.179,E028.14.53.210
JS2T1,S026.39.17.359,E028.05.44.728
JS30A,S026.35.58.718,E028.29.34.540
JS3F1,S026.00.45.921,E028.17.42.388
JS3M1,S026.17.24.820,E028.12.33.238
JS3M2,S026.20.52.220,E028.26.18.938
JS3MP,S026.08.06.640,E028.15.26.200
JS3T1,S025.55.20.931,E028.19.22.760
JS4M1,S026.12.25.718,E028.12.55.889
JSV26,S025.48.07.520,E028.29.35.588
JSV29,S026.35.05.650,E028.29.03.001
JSV34,S025.52.43.100,E028.47.03.361
JSV40,S025.36.02.678,E028.38.27.808
KATAK,S017.44.35.998,E033.00.24.001
KATOR,S033.29.19.460,E022.38.34.371
KAVAL,S015.32.17.001,E033.58.11.999
KE401,S017.53.32.200,E024.59.04.599
KE402,S017.51.52.999,E025.04.01.700
KE501,S017.59.37.201,E025.11.28.100
KE502,S018.06.01.501,E025.16.46.801
KEBAT,S027.30.00.000,E018.18.00.000
KELKY,S026.32.14.690,E018.06.49.089
KEPOK,S015.26.59.999,E030.22.59.998
KM09A,S017.45.53.038,E023.59.59.499
KM09B,S017.40.56.841,E023.52.44.821
KM09F,S017.39.06.501,E024.04.06.380
KM09I,S017.39.56.660,E023.58.56.589
KM1F1,S028.54.24.649,E024.45.55.468
KM1M1,S028.46.05.239,E024.45.54.129
KM1MP,S028.49.12.961,E024.45.54.629
KM1T1,S028.59.26.800,E024.45.56.278
KM27E,S017.35.07.130,E024.28.29.708
KM27F,S017.36.58.950,E024.17.08.660
KM27G,S017.42.04.399,E024.23.21.778
KM27I,S017.36.08.128,E024.22.18.238
KM2F1,S028.42.31.431,E024.45.53.578
KM2M1,S028.51.36.090,E024.45.55.018
KM2MP,S028.47.35.469,E024.45.54.370
KM2SD,S028.45.00.169,E024.45.53.971
KM2T1,S028.37.29.269,E024.45.52.790
KM361,S028.43.56.888,E024.45.53.798
KM362,S028.33.19.321,E025.17.27.571
KM363,S028.43.25.078,E024.45.53.701
KM364,S028.48.59.810,E024.32.19.870
KM365,S029.12.13.669,E024.20.53.620
KM366,S028.52.43.500,E024.45.55.198
KM367,S028.46.41.491,E024.24.33.998
KM368,S029.06.20.030,E024.30.27.338
KMM01,S017.37.39.449,E024.13.03.579
KMM02,S017.38.27.610,E024.08.08.181
KN1F1,S025.26.41.240,E031.03.34.131
KN1M1,S025.15.11.671,E031.12.09.201
KN1M2,S025.30.54.028,E031.10.24.351
KN1MP,S025.23.29.698,E031.05.57.389
KN1T1,S025.30.50.101,E031.00.27.748
KOBOD,S016.25.41.001,E032.06.17.999
KODES,S033.08.39.998,E018.45.20.001
KOFTA,S024.32.45.200,E026.10.03.799
KT04A,S026.43.51.329,E018.08.51.439
KT04B,S026.47.18.351,E018.01.57.349
KT04C,S026.41.06.478,E017.58.07.071
KT04F,S026.37.33.859,E018.05.02.799
KT04I,S026.42.29.001,E018.03.29.188
KT22D,S026.20.48.598,E018.04.33.711
KT22E,S026.17.21.749,E018.11.26.329
KT22F,S026.27.06.289,E018.08.21.548
KT22G,S026.23.33.460,E018.15.16.189
KT22I,S026.22.11.128,E018.09.54.889
KTM01,S026.30.05.378,E018.07.24.920
KTM02,S026.34.40.439,E018.05.57.800
KULBU,S020.56.11.000,E027.41.08.001
KURLA,S021.56.59.999,E031.46.00.001
KURMA,S016.45.00.000,E026.58.00.001
KUTLA,S023.36.07.599,E026.18.58.701
LA1F1,S026.01.24.729,E027.49.24.898
LA1MP,S025.56.53.840,E027.54.55.551
LA1N1,S025.59.57.739,E027.40.15.920
LA1N2,S026.09.18.921,E027.39.44.470
LA1N3,S026.09.46.958,E027.50.06.309
LA1T1,S026.04.52.438,E027.45.10.911
LA2F1,S025.53.42.579,E027.58.45.778
LA2N1,S025.52.45.591,E027.50.16.350
LA2N2,S025.49.22.029,E027.54.21.250
LA2R1,S025.51.38.998,E027.56.28.071
LA2RC,S025.51.39.441,E027.56.40.700
LA2T1,S025.51.46.540,E027.59.45.391
LABLO,S015.57.34.999,E034.06.29.998
LE001,S029.06.57.488,E031.02.06.939
LE002,S029.25.58.688,E031.07.07.431
LE003,S029.06.54.129,E031.11.45.679
LE004,S029.12.27.039,E031.15.58.910
LE005,S029.59.57.991,E030.45.18.399
LE006,S029.17.10.341,E031.33.35.528
LE007,S030.01.15.711,E030.47.15.248
LE008,S029.46.02.190,E031.08.24.720
LE009,S029.44.09.250,E030.33.47.908
LE010,S029.48.44.189,E030.42.14.871
LE011,S029.33.58.269,E030.32.53.829
LE012,S029.37.12.140,E030.57.20.678
LE013,S029.36.03.661,E031.17.05.971
LE014,S029.14.19.330,E031.30.06.379
LE015,S029.34.16.460,E031.09.16.531
LE017,S029.08.53.570,E031.40.08.810
LE018,S030.01.32.311,E030.47.42.619
LE1CF,S029.46.53.939,E030.34.45.400
LE1F1,S029.44.10.291,E031.00.38.858
LE1G2,S029.24.50.349,E030.59.05.938
LE1M1,S029.29.55.438,E031.13.03.349
LE1M2,S029.36.27.990,E031.22.55.318
LE1MP,S029.37.49.339,E031.06.11.210
LE1N1,S029.44.17.721,E030.51.08.380
LE1N2,S029.53.26.069,E030.52.32.311
LE1N3,S029.52.12.428,E031.03.01.439
LE1T1,S029.48.15.199,E030.57.04.669
LE2CF,S029.52.29.571,E030.37.49.911
LE2D2,S029.39.08.409,E031.05.02.349
LE2F1,S029.29.14.110,E031.13.39.259
LE2M1,S029.43.28.999,E031.01.14.901
LE2M2,S029.50.02.439,E031.11.07.328
LE2MP,S029.35.54.560,E031.07.51.160
LE2N1,S029.29.05.010,E031.23.08.339
LE2N2,S029.19.56.888,E031.21.41.940
LE2N3,S029.21.12.099,E031.11.16.238
LE2T1,S029.25.08.680,E031.17.12.058
LE3CF,S029.14.05.330,E030.44.31.239
LE4CF,S029.20.12.310,E030.45.36.270
LONOD,S023.18.00.000,E017.36.00.000
LZ04F,S026.46.05.959,E015.12.55.630
LZ04I,S026.50.53.829,E015.11.18.121
LZ22F,S026.35.51.079,E015.16.23.541
LZ22I,S026.31.03.190,E015.18.00.770
LZM01,S026.38.36.981,E015.15.27.539
LZM02,S026.43.25.539,E015.13.49.940
M21RY,S026.06.26.290,E028.14.48.649
M21RZ,S026.06.32.079,E028.14.46.809
MA12,S018.05.26.908,E025.49.05.008
MA30,S018.06.11.498,E025.51.12.801
MAKIR,S016.11.17.998,E031.34.47.999
MASHO,S025.35.48.638,E030.56.43.810
MD01,S034.00.21.038,E018.36.45.759
MD02,S028.49.59.469,E024.45.51.598
MD05,S023.53.20.849,E029.25.22.850
MD05,S028.45.40.399,E032.04.38.168
MD08,S034.00.12.499,E025.34.51.531
MD08,S024.33.49.129,E025.53.52.501
